State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Total Score,Offers Score
AK,27001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,99508,9075630130,Local,50,50,50,50,50,50,3,4,89,4,87,2,78,3,85,79,196,26,738,300
AK,27006,FAIRBANKS MEMORIAL HOSPITAL HHA,1701 GILLAM WAY,FAIRBANKS,99701,9074585410,Hospital Based Program,50,50,0,0,50,50,4,4,88,4,86,4,85,4,84,89,51,21,832,200
AK,27008,ANCORA HOME HEALTH & HOSPICE,2851 E PALMER-WASILLA HWY,WASILLA,99654,9073524800,Official Health Agency,50,50,50,50,50,50,3,4,86,3,81,2,80,2,76,69,122,28,672,300
AK,27022,FRONTIER HOME HEALTH,"3909 ARCTIC BLVD, SUITE 102",ANCHORAGE,99503,9072721275,Official Health Agency,50,50,50,50,50,50,4,3,84,4,83,4,85,3,86,71,61,18,769,300
AK,27034,"ALASKAN HOME HEALTH, INC",9191 OLD SEWARD HIGHWAY SUITE 19A,ANCHORAGE,99515,9078308548,Local,50,50,50,50,50,50,5,5,91,5,89,4,87,4,90,85,64,28,902,300
WY,537014,CHEYENNE REGIONAL MEDICAL CENTER HOME CARE SERVICE,2600 E 18TH ST,CHEYENNE,82001,3076337000,Hospital Based Program,50,50,50,50,50,50,3,3,85,3,83,2,77,3,82,76,169,31,683,300
WY,537031,CODY REGIONAL HEALTH HOME HEALTH,1021 9TH STREET,CODY,82414,3075782413,Hospital Based Program,50,50,50,50,50,50,4,5,90,5,90,2,80,4,92,83,71,34,835,300
WY,537038,SHERIDAN MEMORIAL HOSPITAL HOME CARE,1401 W 5TH STREET,SHERIDAN,82801,3076721083,Hospital Based Program,50,50,50,50,0,50,4,3,86,5,89,4,87,3,82,84,82,41,808,250
WY,537041,FRONTIER HOME HEALTH AND HOSPICE,230 N 1ST ST,LANDER,82520,3078564127,Official Health Agency,50,50,50,50,50,50,3,4,88,4,87,2,76,3,86,86,105,37,743,300
WY,537044,FRONTIER HOME HEALTH AND HOSPICE,"907 N POPLAR STREET, SUITE 277",CASPER,82601,3072346684,Local,50,50,50,50,50,50,3,4,88,4,83,2,80,3,79,76,87,28,726,300
