State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Score,Offers,Total Score,"Good, Medium, Bad"
CA,59239,"VICTORY HOME HEALTH CARE, INC",909 S VICTORY BLVD,BURBANK,91502,8188482099,Local,50,50,50,50,50,50,7/6/2010,5,5,100,5,100,5,100,5,100,100,125,48,1000,300,1300,Good
CA,58183,"EXCELLENT CARE HOME HEALTH SERVICES, INC","9037 ARROW ROUTE, SUITE 140",RANCHO CUCAMONGA,91730,9095813536,Official Health Agency,50,50,50,50,50,50,5/21/2003,5,5,99,5,100,5,100,5,100,100,76,71,999,300,1299,Good
CA,59734,"PURE LIFE HOME HEALTH CARE, INC","11755 VICTORY BLVD, SUITE 202",N HOLLYWOOD,91606,8187622636,Local,50,50,50,50,50,50,7/16/2016,5,5,97,5,96,5,99,5,98,99,58,21,989,300,1289,Good
CA,59318,"PATRIOT HOME HEALTH CARE, INC","440 WEST COLORADO ST, SUITE 215",GLENDALE,91204,8185510757,Local,50,50,50,50,50,50,7/21/2011,5,5,99,5,98,5,97,5,96,98,52,29,988,300,1288,Good
CA,59430,"SANTA HOME HEALTH CARE, INC.","8281 MELROSE AVE, SUITE 205",LOS ANGELES,90046,3239333656,Official Health Agency,50,50,50,50,50,50,5/18/2012,5,5,98,5,97,5,99,5,100,94,149,35,988,300,1288,Good
CA,59060,"WISDOM HEALTH CARE SERVICES, INC","12509 OXNARD STREET, SUITE 203",N HOLLYWOOD,91606,3103243290,Local,50,50,50,50,50,50,4/11/2009,5,5,97,5,97,5,100,5,99,94,87,24,987,300,1287,Good
CA,58236,"XL CARE, INC",17555 VENTURA BLVD SUITE 201,ENCINO,91316,8187852944,Local,50,50,50,50,50,50,1/26/2004,5,5,99,5,99,5,95,5,99,94,57,30,986,300,1286,Good
FL,108289,ANGELS CARE HOME HEALTH INC,2260 SW 8TH ST STE 301,MIAMI,33125,3053649898,Local,50,50,50,50,50,50,4/27/2006,5,5,100,5,98,5,93,5,98,97,61,31,986,300,1286,Good
TX,677887,COUNTRY HOME CARE,1505 W MAIN ST,CLARKSVILLE,75426,9034278366,Local,50,50,50,50,50,50,3/17/2006,5,5,97,5,97,5,97,5,100,95,109,63,986,300,1286,Good
CA,59231,"PLANET HOME HEALTH CARE, INC","221 E GLENOAKS BLVD, STE 240",GLENDALE,91207,8182420720,Local,50,50,50,50,50,50,8/1/2010,5,5,98,5,99,5,100,5,100,88,65,43,985,300,1285,Good
TX,747363,PARIS SIGNATURE HOME HEALTH INC,420 N COLLEGIATE,PARIS,75460,9037854900,Local,50,50,50,50,50,50,4/21/2010,5,5,98,5,97,5,97,5,99,94,74,44,985,300,1285,Good
CA,59562,"RAFAELLA HOME HEALTH CARE, INC","14328 VICTORY BLVD, STE 209",VAN NUYS,91401,8185100925,Local,50,50,50,50,50,50,10/23/2013,5,5,97,5,96,5,97,5,100,93,55,21,983,300,1283,Good
CA,59504,"AID HOME HEALTH CARE, INC","1007 SOUTH CENTRAL AVE, SUITE 208",GLENDALE,91204,8182424979,Local,50,50,50,50,50,50,3/19/2013,5,5,97,5,97,5,98,5,96,94,49,25,982,300,1282,Good
TX,679648,"ALGEN HEALTH, LLC",2626 SOUTH LOOP WEST # 550,HOUSTON,77054,7132180260,Local,50,50,50,50,50,50,7/26/2007,5,5,96,5,98,5,96,5,98,94,67,34,982,300,1282,Good
CA,59185,"SIGMA HOME HEALTH CARE, INC","805 EAST BROADWAY, SUITE G",GLENDALE,91205,8185511141,Local,50,50,50,50,50,50,4/6/2010,5,5,95,5,96,5,97,5,97,96,114,25,981,300,1281,Good
NE,287053,HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,"P O BOX 367,  141 EAST 5TH STREET",WAHOO,68066,4024434798,Local,50,50,50,50,50,50,4/1/1988,5,5,97,5,95,5,93,5,97,98,49,53,980,300,1280,Good
TX,677850,TEXOMA HOME HEALTH,2008 LOY LAKE ROAD,SHERMAN,75092,9038689991,Local,50,50,50,50,50,50,3/20/2006,5,5,93,5,96,5,97,5,98,96,80,49,980,300,1280,Good
CT,77078,ORANGE VISITING NURSE ASSOCIATION,605A ORANGE CENTER RD,ORANGE,6477,2038912165,Visiting Nurse Association,50,50,50,50,50,50,7/1/1966,5,5,97,5,96,5,90,5,98,98,80,54,979,300,1279,Good
KY,187021,MIDDLESBORO ARH HOME HEALTH AGENCY,1916 CUMBERLAND AVENUE,MIDDLESBORO,40965,6062421404,Official Health Agency,50,50,50,50,50,50,1/9/1969,5,5,96,5,98,5,93,5,99,93,50,28,979,300,1279,Good
OK,377778,OLDHAM HOME CARE LLC,519 EAST MAIN STREET,STIGLER,74462,9189679971,Local,50,50,50,50,50,50,9/25/2014,5,5,97,5,91,5,98,5,96,97,52,49,979,300,1279,Good
TX,677841,PATIENTS BEST CHOICE HOME HEALTHCARE,3427 W FM 120 SUITE 105,DENISON,75020,9034620604,Local,50,50,50,50,50,50,3/16/2006,5,5,96,5,97,5,94,5,95,96,126,44,978,300,1278,Good
TX,679081,SOUTH WEST TEXAS HOME HEALTH INC,150 LAMESA DR,BRIDGE CITY,77611,4097356100,Official Health Agency,50,50,50,50,50,50,10/24/2001,5,5,98,5,96,5,90,5,94,100,81,32,978,300,1278,Good
CO,67443,SUPER HEALTH CARE INC,6795 E TENNESSEE AVE SUITE 225,DENVER,80224,3039911009,Local,50,50,50,50,50,50,12/28/2004,5,5,98,5,98,5,93,5,95,93,212,31,977,300,1277,Good
CA,59641,CAMARILLO HHCA INC,"18107 SHERMAN WAY, SUITE 212",RESEDA,91335,8183452200,Local,50,50,50,50,50,50,11/18/2014,5,5,94,5,95,5,94,5,99,94,43,25,976,300,1276,Good
OK,377719,FAMILY CHOICE HOME CARE,801 W 2ND STREET,ELK CITY,73644,5802254140,Local,50,50,50,50,50,50,5/13/2008,5,5,95,5,96,5,96,5,97,92,47,48,976,300,1276,Good
OK,377723,UNITY HOME HEALTH L L C,"1415 WEST MAIN STREET, SUITE 200",DURANT,74701,5809310995,Official Health Agency,50,50,50,50,50,50,8/22/2008,5,5,96,5,96,5,92,5,96,96,67,45,976,300,1276,Good
TX,747956,COLEMAN HOME HEALTH AND HOSPICE INC,406 WEST ELM STREET,COLEMAN,76834,3256253222,Local,50,50,50,50,50,50,3/12/2015,5,5,95,5,95,5,95,5,97,94,64,47,976,300,1276,Good
LA,197114,BUNKIE HOMECARE,1123 SHIRLEY ROAD,BUNKIE,71322,3183463312,Local,50,50,50,50,50,50,2/20/1984,5,5,95,5,96,5,95,5,94,95,124,34,975,300,1275,Good
TX,453144,PATHFINDER HOME HEALTH,311 S PALESTINE STREET,ATHENS,75751,9036778301,Local,50,50,50,50,50,50,8/18/2004,5,5,96,5,95,5,92,5,98,94,73,37,975,300,1275,Good
TN,447264,"HMC HOME HEALTH, LLC",115 PATTERSON ROAD,SAVANNAH,38372,7319250276,Local,50,50,50,50,50,50,2/23/1984,5,5,95,5,96,5,96,5,94,93,182,41,974,300,1274,Good
TX,677428,CARE PLUS HOME HEALTH,101 NORTH PECAN ST,WOODVILLE,75979,4092833600,Local,50,50,50,50,50,50,8/29/1991,5,5,93,5,95,5,93,5,96,97,65,43,974,300,1274,Good
CA,59459,"PLEASANT HOME HEALTH CARE, INC.","1516 NORTH SAN FERNANDO BLVD, STE 206",BURBANK,91504,8186011380,Local,50,50,50,50,50,50,6/22/2012,5,5,89,5,94,5,100,5,100,90,57,29,973,300,1273,Good
LA,197769,ACADIAN HOMECARE / ABBEVILLE,302 NORTH HOSPITAL DRIVE,ABBEVILLE,70510,3378920805,Local,50,50,50,50,50,50,8/30/2001,5,5,97,5,95,5,92,5,94,95,107,40,973,300,1273,Good
