State,Rank,CMS Certification Number (CCN)*,Provider Name,Address,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Rank,Score,Offers,Total Score,Color Rating,Latitude,Longitude
CA,1,59239,"VICTORY HOME HEALTH CARE, INC","909 S VICTORY BLVD, BURBANK CA 91502",8188482099,Local,50,50,50,50,50,50,40365,5,5,100,5,100,5,100,5,100,100,125,1,1000,300,1300,Top,34.1671384,-118.3087971
CA,2,58183,"EXCELLENT CARE HOME HEALTH SERVICES, INC","9037 ARROW ROUTE, SUITE 140, RANCHO CUCAMONGA CA 91730",9095813536,Official Health Agency,50,50,50,50,50,50,37762,5,5,99,5,100,5,100,5,100,100,76,2,999,300,1299,Top,34.0988097,-117.6081857
CA,3,59734,"PURE LIFE HOME HEALTH CARE, INC","11755 VICTORY BLVD, SUITE 202, N HOLLYWOOD CA 91606",8187622636,Local,50,50,50,50,50,50,42567,5,5,97,5,96,5,99,5,98,99,58,3,989,300,1289,Top,34.1869367,-118.3897922
CA,4,59318,"PATRIOT HOME HEALTH CARE, INC","440 WEST COLORADO ST, SUITE 215, GLENDALE CA 91204",8185510757,Local,50,50,50,50,50,50,40745,5,5,99,5,98,5,97,5,96,98,52,4,988,300,1288,Top,34.1422621,-118.2627994
CA,5,59430,"SANTA HOME HEALTH CARE, INC.","8281 MELROSE AVE, SUITE 205, LOS ANGELES CA 90046",3239333656,Official Health Agency,50,50,50,50,50,50,41047,5,5,98,5,97,5,99,5,100,94,149,5,988,300,1288,Top,34.0838467,-118.3701586
CA,6,59060,"WISDOM HEALTH CARE SERVICES, INC","12509 OXNARD STREET, SUITE 203, N HOLLYWOOD CA 91606",3103243290,Local,50,50,50,50,50,50,39914,5,5,97,5,97,5,100,5,99,94,87,6,987,300,1287,Top,34.1797222,-118.4056305
CA,7,58236,"XL CARE, INC","17555 VENTURA BLVD SUITE 201, ENCINO CA 91316",8187852944,Local,50,50,50,50,50,50,38012,5,5,99,5,99,5,95,5,99,94,57,7,986,300,1286,Top,34.1620774,-118.5160918
FL,8,108289,ANGELS CARE HOME HEALTH INC,"2260 SW 8TH ST STE 301, MIAMI FL 33125",3053649898,Local,50,50,50,50,50,50,38834,5,5,100,5,98,5,93,5,98,97,61,8,986,300,1286,Top,25.7651288,-80.2319135
TX,9,677887,COUNTRY HOME CARE,"1505 W MAIN ST, CLARKSVILLE TX 75426",9034278366,Local,50,50,50,50,50,50,38793,5,5,97,5,97,5,97,5,100,95,109,9,986,300,1286,Top,33.6102785,-95.0637778
CA,10,59231,"PLANET HOME HEALTH CARE, INC","221 E GLENOAKS BLVD, STE 240, GLENDALE CA 91207",8182420720,Local,50,50,50,50,50,50,40391,5,5,98,5,99,5,100,5,100,88,65,10,985,300,1285,Top,34.1587649,-118.2530734
TX,11,747363,PARIS SIGNATURE HOME HEALTH INC,"420 N COLLEGIATE, PARIS TX 75460",9037854900,Local,50,50,50,50,50,50,40289,5,5,98,5,97,5,97,5,99,94,74,11,985,300,1285,Top,33.66597,-95.5250925
CA,12,59562,"RAFAELLA HOME HEALTH CARE, INC","14328 VICTORY BLVD, STE 209, VAN NUYS CA 91401",8185100925,Local,50,50,50,50,50,50,41570,5,5,97,5,96,5,97,5,100,93,55,12,983,300,1283,Top,34.1864661,-118.4454023
CA,13,59504,"AID HOME HEALTH CARE, INC","1007 SOUTH CENTRAL AVE, SUITE 208, GLENDALE CA 91204",8182424979,Local,50,50,50,50,50,50,41352,5,5,97,5,97,5,98,5,96,94,49,13,982,300,1282,Top,34.1345366,-118.2581898
TX,14,679648,"ALGEN HEALTH, LLC","2626 SOUTH LOOP WEST # 550, HOUSTON TX 77054",7132180260,Local,50,50,50,50,50,50,39289,5,5,96,5,98,5,96,5,98,94,67,14,982,300,1282,Top,29.6785762,-95.4212017
CA,15,59185,"SIGMA HOME HEALTH CARE, INC","805 EAST BROADWAY, SUITE G, GLENDALE CA 91205",8185511141,Local,50,50,50,50,50,50,40274,5,5,95,5,96,5,97,5,97,96,114,15,981,300,1281,Top,34.1464716,-118.2453013
NE,16,287053,HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,"P O BOX 367,  141 EAST 5TH STREET, WAHOO NE 68066",4024434798,Local,50,50,50,50,50,50,32234,5,5,97,5,95,5,93,5,97,98,49,16,980,300,1280,Top,41.2112564,-96.619317
