State,Provider Name,Total Score
CA,"VICTORY HOME HEALTH CARE, INC",1300
CA,"EXCELLENT CARE HOME HEALTH SERVICES, INC",1299
CA,"PURE LIFE HOME HEALTH CARE, INC",1289
CA,"PATRIOT HOME HEALTH CARE, INC",1288
CA,"SANTA HOME HEALTH CARE, INC.",1288
CA,"WISDOM HEALTH CARE SERVICES, INC",1287
CA,"XL CARE, INC",1286
FL,ANGELS CARE HOME HEALTH INC,1286
TX,COUNTRY HOME CARE,1286
CA,"PLANET HOME HEALTH CARE, INC",1285
TX,PARIS SIGNATURE HOME HEALTH INC,1285
CA,"RAFAELLA HOME HEALTH CARE, INC",1283
CA,"AID HOME HEALTH CARE, INC",1282
TX,"ALGEN HEALTH, LLC",1282
CA,"SIGMA HOME HEALTH CARE, INC",1281
NE,HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,1280
TX,TEXOMA HOME HEALTH,1280
CT,ORANGE VISITING NURSE ASSOCIATION,1279
KY,MIDDLESBORO ARH HOME HEALTH AGENCY,1279
OK,OLDHAM HOME CARE LLC,1279
TX,PATIENTS BEST CHOICE HOME HEALTHCARE,1278
TX,SOUTH WEST TEXAS HOME HEALTH INC,1278
CO,SUPER HEALTH CARE INC,1277
CA,CAMARILLO HHCA INC,1276
OK,FAMILY CHOICE HOME CARE,1276
OK,UNITY HOME HEALTH L L C,1276
TX,COLEMAN HOME HEALTH AND HOSPICE INC,1276
LA,BUNKIE HOMECARE,1275
TX,PATHFINDER HOME HEALTH,1275
TN,"HMC HOME HEALTH, LLC",1274
TX,CARE PLUS HOME HEALTH,1274
CA,"PLEASANT HOME HEALTH CARE, INC.",1273
LA,ACADIAN HOMECARE / ABBEVILLE,1273
CA,CENTRAL HOME HEALTH AGENCY,1272
CA,"RH HOME HEALTH SERVICES, INC.",1272
MI,M&Y CARE,1272
TX,CARINGBRIDGE HOME HEALTH CARE LLC,1272
LA,KINDRED AT HOME,1271
MI,ALLIED HOME HEALTH CARE & NURSING SERVICES,1271
FL,MGN HEALTHCARE SERVICES,1270
LA,"MANGHAM HOME CARE, INC.",1270
PA,PARAGON HOME HEALTH CARE CORPORATION,1270
TN,DEACONESS HOMECARE,1270
TX,TEXAS QUALITY HOME HEALTH,1270
TX,A DOSE OF CARE HOME HEALTH INC,1269
CA,GENESIS HOME HEALTH INC,1268
IL,CRAWFORD MEMORIAL HOME HEALTH,1268
IN,GOLDEN AGE HOME HEALTH CARE LLC,1268
LA,HOME HEALTH CTR OF THIBODAUX,1268
AR,ACMC FAMILY HOME HEALTH,1267
OK,"MACARTHUR PARK HOME HEALTH, INC",1267
TX,YOUR HEALTH TEAM,1267
CT,WESTBROOK VISITING NURSES & PUBLIC HEALTH,1266
LA,EUNICE COMMUNITY HOME HEALTH,1266
NC,PRUITTHEALTH AT HOME - AVERY,1266
PA,GOLDEN CARE OF NORTHEAST PA,1266
TX,ASSISTCARE,1266
AL,MARION REGIONAL HOMECARE,1265
GA,MUSCOGEE HOME HEALTH AGENCY,1265
LA,"CONCEPTS OF CARE HOME HEALTH, INC",1265
NH,NEWFOUND AREA NURSING ASSN,1265
OH,VISITING NURSING SERVICES OF WHEELING HOSPITAL-BEL,1265
PA,HUMAN TOUCH HOME HEALTH - ALLENTOWN,1265
IA,MERCY HOME HEALTH CARE,1264
LA,KEY HOME HEALTH CARE,1264
LA,SMART HEALTH CARE INC,1264
MO,SOUTHEAST HOME HEALTH,1264
MS,KINDRED AT HOME,1264
VA,LIBERTY HOME CARE V LLC,1264
CA,"FIRST AID HOME HEALTH CARE, INC",1263
CA,"EDEN HOME HEALTH, INC.",1263
IN,AMERICAN NURSING CARE INC,1263
TN,CONTINUOUS CARE SERVICES,1263
AL,"SHOALS HOME SERVICES, LLC",1262
FL,URRA HOME HEALTH CORP,1262
FL,A CARE CONNECTION HOME HEALTH,1262
IA,GREAT RIVER HOME HEALTH CARE,1262
LA,"PRIME CARE HOME HEALTH, A PART OF THE ELARA CARING",1262
MI,OMNI HOME HEALTH CARE,1262
MO,NORTH KANSAS CITY HOSPITAL HOME HEALTH SERVICES,1262
MS,MAGNOLIA REGIONAL HEALTH CENTER HH & HOSPICE AGENC,1262
TX,ACTIVE HOME CARE SERVICES,1262
VA,IN HOME CARE  INC,1262
LA,LOUISIANA HOMECARE OF MISS-LOU,1261
LA,KINDRED AT HOME,1261
LA,AMEDISYS HOME HEALTH,1261
LA,LOUISIANA HOMECARE/ SPRINGHILL,1261
PA,WINDBER HOME HEALTH AGENCY,1261
PA,UPMC HOME HEALTHCARE,1261
TX,HEALING HANDS HEALTHCARE LLC,1261
AR,ELITE HOME HEALTH,1260
CA,IDEAL HOME CARE INC,1260
LA,PROFESSIONAL HH SVC OF MINDEN,1260
MO,"CARING NURSES HOME HEALTH AGENCY, INC",1260
PA,SANDIN HOME HEALTH SERVICES,1260
TX,CHILDRESS REGIONAL MEDICAL CENTER HOME HEALTH SERV,1260
TX,JORDAN HEALTH SERVICES,1260
TX,EXCEL COMPLETE HOME HEALTHCARE INC,1260
TX,SOUTHERN HOME HEALTH,1260
TX,CARESTAT HOME CARE,1260
