State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Total Score,Offers Score
AL,17146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE, NE",RUSSELLVILLE,35653,2563310006,Hospital Based Program,50,50,0,0,0,50,5,5,97,5,96,5,93,5,92,97,60,32,975,150
AL,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,2059210391,Local,50,50,50,50,50,50,5,5,94,5,94,5,92,5,93,92,107,37,965,300
AL,17112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,36545,2512470424,Hospital Based Program,50,50,0,50,0,50,5,5,95,5,90,5,90,5,97,93,122,37,965,200
AL,17177,"SHOALS HOME SERVICES, LLC",1114 BRADSHAW DRIVE,FLORENCE,35630,2562469972,Local,50,50,50,50,50,50,5,5,94,5,92,5,93,5,96,87,123,34,962,300
AL,17048,KINDRED AT HOME,1204 W MAGNOLIA AVENUE,GENEVA,36340,3346843919,Local,50,50,50,50,0,50,5,5,95,5,94,5,89,5,93,89,180,35,960,250
AL,17136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,36033,3343762286,Hospital Based Program,50,50,0,0,0,50,5,5,95,5,91,5,93,5,90,89,70,48,958,150
AL,17088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,35555,2059325961,Local,50,50,50,50,50,50,5,5,93,5,92,5,89,5,93,90,180,43,957,300
AL,17000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,36104,3342065341,Official Health Agency,50,50,50,50,50,50,5,5,94,5,91,5,88,5,93,87,454,23,953,300
AL,17300,AMEDISYS HOME HEALTH OF TUSCALOOSA,4116 WATERMELON ROAD,NORTHPORT,35473,8662978253,Local,50,50,50,50,50,50,5,5,94,5,91,5,89,5,91,88,307,30,953,300
AL,17124,DALE MEDICAL CENTER HOME HEALTH,126 HOSPITAL AVENUE,OZARK,36360,3347740750,Hospital Based Program,50,50,0,0,50,50,5,5,93,5,92,5,88,5,92,88,82,30,953,200
