Average Median Household Income,Score,,,State,Income Rank,Score Rank
"51,113",1123,,,AL,44,50
"72,231",1311.5,,,AK,9,1
"61,125",1294.1,,,AZ,23,9
"48,829",1270,,,AR,46,26
"69,759",1266.1,,,CA,13,29
"74,172",1292,,,CO,4,10
"72,780",1243.1,,,CT,8,43
"62,318",1258,,,DE,22,35
"53,681",1283.9,,,FL,41,17
"57,016",1284.1,,,GA,34,16
"73,575",1235.5,,,HI,5,45
"60,208",1264.7,,,ID,24,31
"64,609",1300.3,,,IL,16,7
"58,873",1254,,,IN,30,38
"63,481",1256.2,,,IA,18,36
"57,872",1285.8,,,KS,31,15
"51,348",1292,,,KY,43,11
"43,903",1287.2,,,LA,49,14
"51,664",1268.4,,,ME,42,27
"81,084",1300,,,MD,1,8
"73,227",1253.1,,,MA,6,39
"57,700",1262.3,,,MI,33,33
"71,920",1231,,,MN,10,47
"43,441",1277,,,MS,50,20
"56,885",1308.4,,,MO,36,2
"59,087",1227.6,,,MT,29,48
"59,619",1279.6,,,NE,27,19
"56,550",1300.8,,,NV,37,5
"74,801",1268.2,,,NH,3,28
"72,997",1282.7,,,NJ,7,18
"47,855",1265.8,,,NM,47,30
"62,447",1247.3,,,NY,21,41
"50,343",1243.3,,,NC,45,42
"59,886",1260.4,,,ND,25,34
"59,768",1262.6,,,OH,26,32
"55,006",1273.3,,,OK,39,23
"64,610",1234.8,,,OR,15,46
"63,173",1272.2,,,PA,20,24
"66,390",1287.9,,,RI,14,13
"54,971",1288,,,SC,40,12
"56,894",1271.4,,,SD,35,25
"55,240",1301.7,,,TN,38,4
"59,295",1236.8,,,TX,28,44
"71,319",1307.6,,,UT,11,3
"63,805",1275.8,,,VT,17,22
"71,293",1252.8,,,VA,12,40
"75,418",1254.1,,,WA,2,37
"45,392",1276.7,,,WV,48,21
"63,451",1300.7,,,WI,19,6
"57,837",1205.4,,,WY,32,49
